analyst_id,organization_id,name,role,team,experience_years,shift,status,joined_at
AN00001,ORG00091,Riya Sharma 00001,SOC Engineer,Threat Hunting,8,Night,On Leave,2024-01-04
AN00002,ORG00587,Simran Joshi 00002,SOC Engineer,Monitoring,5,Night,Active,2023-12-20
AN00003,ORG00097,Simran Mehta 00003,L2 Analyst,Threat Detection,12,Morning,Inactive,2022-12-12
AN00004,ORG00688,Ananya Singh 00004,L2 Analyst,Threat Hunting,7,Morning,Active,2023-05-14
AN00005,ORG00041,Riya Verma 00005,SOC Engineer,Threat Detection,2,Morning,Active,2025-05-03
AN00006,ORG00128,Simran Gupta 00006,L3 Analyst,Incident Response,11,Evening,Active,2024-10-24
AN00007,ORG00680,Simran Verma 00007,L2 Analyst,Threat Hunting,11,Evening,Active,2023-06-29
AN00008,ORG00569,Neha Singh 00008,SOC Engineer,Monitoring,3,Evening,Active,2024-03-12
AN00009,ORG00848,Simran Mehta 00009,L3 Analyst,Threat Detection,5,Night,Active,2024-03-15
AN00010,ORG00597,Aman Kumar 00010,L1 Analyst,Monitoring,4,Morning,Active,2022-04-01
AN00011,ORG00502,Rahul Malhotra 00011,L2 Analyst,Monitoring,12,Morning,Active,2025-12-31
AN00012,ORG00152,Arjun Gupta 00012,SOC Engineer,Threat Hunting,2,Evening,Active,2023-08-15
AN00013,ORG00737,Arjun Patel 00013,SOC Engineer,Incident Response,10,Night,Active,2022-02-14
AN00014,ORG00647,Arjun Mehta 00014,L1 Analyst,Threat Detection,7,Morning,Active,2023-06-12
AN00015,ORG00008,Arjun Malhotra 00015,L2 Analyst,Monitoring,4,Morning,Active,2023-02-27
AN00016,ORG00557,Arjun Joshi 00016,L3 Analyst,Threat Detection,5,Night,Active,2022-01-10
AN00017,ORG00569,Riya Gupta 00017,SOC Engineer,Incident Response,8,Evening,Active,2024-11-08
AN00018,ORG00446,Riya Singh 00018,L2 Analyst,Threat Detection,10,Morning,Active,2022-12-20
AN00019,ORG00560,Arjun Singh 00019,L3 Analyst,Threat Hunting,2,Night,Inactive,2026-01-20
AN00020,ORG00315,Aman Gupta 00020,L1 Analyst,Monitoring,1,Evening,Active,2023-03-29
AN00021,ORG00549,Aman Malhotra 00021,SOC Engineer,Threat Detection,5,Night,Active,2025-01-16
AN00022,ORG00912,Simran Mehta 00022,SOC Engineer,Threat Hunting,7,Night,On Leave,2024-04-12
AN00023,ORG00027,Ananya Kumar 00023,L1 Analyst,Monitoring,11,Night,Active,2025-11-01
AN00024,ORG00016,Priya Malhotra 00024,L2 Analyst,Incident Response,5,Morning,Active,2024-04-12
AN00025,ORG00166,Simran Singh 00025,L3 Analyst,Incident Response,11,Night,Active,2023-02-17
AN00026,ORG00615,Rahul Patel 00026,L3 Analyst,Threat Detection,5,Morning,Active,2022-04-27
AN00027,ORG00062,Priya Gupta 00027,L1 Analyst,Threat Detection,11,Evening,Active,2024-07-26
AN00028,ORG00868,Riya Verma 00028,L1 Analyst,Monitoring,10,Morning,Active,2025-03-18
AN00029,ORG00003,Neha Verma 00029,SOC Engineer,Threat Detection,1,Evening,Active,2023-01-04
AN00030,ORG00250,Karan Verma 00030,L1 Analyst,Threat Detection,12,Night,Active,2023-07-21
AN00031,ORG00100,Priya Verma 00031,SOC Engineer,Threat Hunting,5,Morning,Active,2022-08-27
